RBD,ASIG_TEL
9549,jgonzalez
24946,KPULGAR
52,KPULGAR
5654,FCACERES
7996,FCACERES
12567,JHOPPE
10832,KPULGAR
12570,KPULGAR
9634,KPULGAR
24623,jgonzalez
24685,vjimenez
9959,KPULGAR
10892,KPULGAR
22436,FCACERES
9834,vjimenez
10621,vjimenez
9780,vjimenez
17735,jgonzalez
26466,vjimenez
24878,MMENDEZ
14879,FCACERES
10638,jgonzalez
5264,FCACERES
9088,KNUÑEZ
9909,KPULGAR
22434,FCACERES
12566,JHOPPE
10658,jgonzalez
12534,JHOPPE
24733,vjimenez
10487,MMENDEZ
9811,JHOPPE
25523,MMENDEZ
25121,vjimenez
9799,vjimenez
9642,vjimenez
9636,KPULGAR
10162,MMENDEZ
6336,FCACERES
8942,vjimenez
3723,jgonzalez
25387,jgonzalez
5315,FCACERES
10474,MMENDEZ
25324,MMENDEZ
10450,MMENDEZ
24443,MMENDEZ
24885,KPULGAR
25988,jgonzalez
9647,jgonzalez
25779,KPULGAR
24889,MMENDEZ
25002,MMENDEZ
10193,vjimenez
766,vjimenez
9158,KNUÑEZ
10081,MMENDEZ
2114,KNUÑEZ
17915,jgonzalez
5434,FCACERES
12716,KPULGAR
15646,KNUÑEZ
25562,KPULGAR
10458,MMENDEZ
25078,vjimenez
25371,jgonzalez
4762,jgonzalez
9283,KNUÑEZ
9656,KPULGAR
10415,vjimenez
2579,KNUÑEZ
6120,FCACERES
25542,jgonzalez
9673,jgonzalez
10246,jgonzalez
5861,FCACERES
25386,jgonzalez
227,JHOPPE
12076,MMENDEZ
12547,KPULGAR
5104,KPULGAR
9778,vjimenez
8645,jgonzalez
13586,vjimenez
12962,JHOPPE
25599,jgonzalez
16446,JHOPPE
25368,KPULGAR
12693,JHOPPE
9659,jgonzalez
25157,KNUÑEZ
10207,jgonzalez
9917,KPULGAR
12712,KPULGAR
8685,vjimenez
25186,KPULGAR
11144,vjimenez
24978,MMENDEZ
10324,MMENDEZ
12713,KPULGAR
26365,MMENDEZ
10565,vjimenez
25047,MMENDEZ
11818,vjimenez
1213,FCACERES
13420,vjimenez
11265,KNUÑEZ
19952,FCACERES
10187,MMENDEZ
5082,KPULGAR
12630,KPULGAR
13606,vjimenez
10320,jgonzalez
5122,KPULGAR
10497,MMENDEZ
25960,vjimenez
10704,JHOPPE
40422,JHOPPE
10401,vjimenez
10915,KPULGAR
12944,JHOPPE
10200,jgonzalez
25089,KPULGAR
293,JHOPPE
1533,KNUÑEZ
3432,JHOPPE
3797,jgonzalez
12603,JHOPPE
2330,KNUÑEZ
25613,MMENDEZ
22192,FCACERES
25733,jgonzalez
9680,KPULGAR
10607,vjimenez
25676,MMENDEZ
12747,JHOPPE
10578,vjimenez
9847,vjimenez
7907,FCACERES
9504,jgonzalez
319,JHOPPE
440,KPULGAR
10345,jgonzalez
9939,vjimenez
10476,MMENDEZ
25250,KPULGAR
2461,KNUÑEZ
5667,FCACERES
