AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;FONO_RBD;CELULAR_RBD;DIR_RBD;LATITUD;LONGITUD;CONVENIO_PIE;ENS_01;ENS_02;ENS_03;ENS_04;ENS_05;ENS_06;ENS_07;ENS_08;ENS_09;MATRICULA;ESTADO_ESTAB;ORI_RELIGIOSA;ORI_OTRO_GLOSA;PAGO_MATRICULA;PAGO_MENSUAL
2015;21;3;ESCUELA CARLOS GUIRAO MASSIF;15;151;15101;ARICA;151;ARICA;2;1;0;2221809; ;LINCOYAN;-18,48379188;-70,30008008;0;0;0;0;0;0;0;0;0;0;0;2;1; ;GRATUITO;GRATUITO
2015;47;7;J.  I. KURUMI;15;151;15101;ARICA;151;ARICA;4;3;0; ;98643822;LUIS CRIGNOLA   2316;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;65;5;J.  I.  SOLDADITO DE PLOMO;15;151;15101;ARICA;151;ARICA;4;3;0; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;98;1;CENTRO DE DIAGNOSTICO;1;11;1101;IQUIQUE;11;IQUIQUE;3;2;0; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;100;7;ESCUELA;1;11;1101;IQUIQUE;11;IQUIQUE;1;1;0; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;101;5;HOGAR ESTUDIANTIL;1;11;1101;IQUIQUE;11;IQUIQUE;1;1;0; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;115;5;ESCUELA JAVIERA CARRERA VERDUGO;1;11;1101;IQUIQUE;11;IQUIQUE;1;1;0;573478;88072188;GRUMETE BOLADOS 169;-20,21947136;-70,1519483;0;0;0;0;0;0;0;0;0;0;0;2;2; ;GRATUITO;GRATUITO
2015;120;1;LICEO COM.Y TEC.ARTURO PRAT CHACON;1;11;1101;IQUIQUE;11;IQUIQUE;1;1;0;544769; ;ARTURO FERNANDEZ;-20,2095485;-70,14359634;0;0;0;0;0;0;0;0;0;0;0;2;2; ;GRATUITO;GRATUITO
2015;128;7;JARDIN INFANTIL LITTLE GARDEN;1;11;1101;IQUIQUE;11;IQUIQUE;3;2;0;429946;76932690;H.DE LA CONCEPCIÓN   786;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;138;4;COLEGIO HERMANOS CARRERA;1;11;1101;IQUIQUE;11;IQUIQUE;4;3;0; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;143;0;LICEO TRINITY COLLEGE;1;11;1101;IQUIQUE;11;IQUIQUE;4;3;0;412921; ;BAQUEDANO;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;145;7;HISPANO BRITANICO;1;11;1101;IQUIQUE;11;IQUIQUE;4;3;0; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;147;3;COLEGIO DON BOSCO;1;11;1101;IQUIQUE;11;IQUIQUE;4;3;0;2411450; ;RAMIREZ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;148;1;IQUIQUE ENGLISH COLLEGE;1;11;1101;IQUIQUE;11;IQUIQUE;4;3;0; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;184;8;ESCUELA BASICA ESCAPINA;1;14;1403;COLCHANE;11;IQUIQUE;2;1;1; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;209;7;ESC. PARV. EL CAMELLITO;2;23;2301;TOCOPILLA;21;ANTOFAGASTA - TOCOPILLA;4;3;0; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;234;8;ESCUELA REPUBLICA DE ECUADOR;2;22;2201;CALAMA;22;EL LOA;1;1;0;310602; ;FREI BONN 2652;-22,45403528;-68,93942446;0;0;0;0;0;0;0;0;0;0;0;3;2; ;GRATUITO;SIN INFORMACIÓN
2015;235;6;ESCUELA JARDIN INFANTIL EL PRINCIPITO;2;22;2201;CALAMA;22;EL LOA;1;1;0; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;249;6;ESCUELA BASICA SAN ANDRES;2;22;2201;CALAMA;22;EL LOA;1;1;1;542208;92979144;POBLADO DE CUPO KM 100;-22,11495425;-68,31687474;0;0;0;0;0;0;0;0;0;0;0;2;2; ;GRATUITO;GRATUITO
2015;251;8;ESCUELA BASICA SAN SANTIAGO;2;22;2201;CALAMA;22;EL LOA;1;1;1; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;299;2;ESCUELA GRECIA;2;21;2101;ANTOFAGASTA;21;ANTOFAGASTA - TOCOPILLA;1;1;0; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;308;5;ESCUELA DE ADULTOS DR.ANTONIO RENDIC;2;21;2101;ANTOFAGASTA;21;ANTOFAGASTA - TOCOPILLA;1;1;0; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;321;2;ESCUELA BASICA SIMON BOLIVAR PALACIOS;2;21;2101;ANTOFAGASTA;21;ANTOFAGASTA - TOCOPILLA;1;1;0; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;327;1;ESCUELA PEDRO AGUIRRE CERDA;2;21;2101;ANTOFAGASTA;21;ANTOFAGASTA - TOCOPILLA;1;1;0; ; ;EL ROBLE 1315;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;353;0;ESC. PARV. GRETCHEN;2;21;2101;ANTOFAGASTA;21;ANTOFAGASTA - TOCOPILLA;4;3;0; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;363;8;COL. GIANT;2;21;2101;ANTOFAGASTA;21;ANTOFAGASTA - TOCOPILLA;4;3;0; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;385;9;ESCUELA DE POTRERILLOS;3;32;3202;DIEGO DE ALMAGRO;31;COPIAPO;2;1;0; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;388;3;COLEGIO MATILDE TRASLAVINA VILLALON;3;32;3202;DIEGO DE ALMAGRO;31;COPIAPO;3;2;1; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;389;1;ESCUELA ESPECIAL ROSITA AZUL;3;32;3202;DIEGO DE ALMAGRO;31;COPIAPO;3;2;0;472379;62050466;AVENIDA EL TOFO  EL SALVADOR;0;0;0;0;0;0;0;0;0;0;0;0;0;3;7;VALÓRICA;GRATUITO;GRATUITO
2015;391;3;ESCUELA COEDUCACIONAL PARTICULAR OSCAR Y;3;32;3202;DIEGO DE ALMAGRO;31;COPIAPO;3;2;0;472550;58635513;DIEGO PORTALES;-26,24438551;-69,62707947;0;0;0;0;0;0;0;0;0;0;0;3;1; ;GRATUITO;GRATUITO
2015;402;2;ESCUELA RUDECINDO ARMANDO PENA CARRASCO;3;31;3101;COPIAPO;31;COPIAPO;2;1;0;212863; ;LAS HERAS 340;-27,35911404;-70,34798863;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;435;9;COLEGIO PARTIC. LUIS KATUNAR ZAFARANIC;3;31;3101;COPIAPO;31;COPIAPO;4;3;0; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;472;3;ESCUELA DE HACIENDA LAS VENTANAS;3;33;3301;VALLENAR;32;HUASCO;2;1;1;614736;00112233;HACIENDA LAS VENTANAS;-28,55556375;-70,79256541;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;475;8;ESCUELA BASICA CAMARONES;3;33;3301;VALLENAR;32;HUASCO;2;1;1;349131; ;SERRANO 913 VALLENAR  O  CAMINO PUBLICO KM 18 LOCALIDAD DE CAMARONES INTERIOR DEL VALLE;-28,57677303;-70,76018185;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;477;4;ESCUELA HIPOLITO CORTES GARROTE;3;33;3302;ALTO DEL CARMEN;32;HUASCO;2;1;1; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;480;4;COLEGIO INGLES LAICO;3;33;3301;VALLENAR;32;HUASCO;4;3;0; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;501;0;ESCUELA DE RETAMO;3;33;3302;ALTO DEL CARMEN;32;HUASCO;2;1;1; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;505;3;ESCUELA;3;33;3302;ALTO DEL CARMEN;32;HUASCO;2;1;0; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;511;8;ESCUELA ALICIA FREDES;3;33;3302;ALTO DEL CARMEN;32;HUASCO;2;1;1; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;512;6;ESCUELA DE LA VEGA;3;33;3302;ALTO DEL CARMEN;32;HUASCO;2;1;1; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;513;4;ESCUELA DE LA HIGUERITA;3;33;3302;ALTO DEL CARMEN;32;HUASCO;2;1;1; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;515;0;CENTRO DE DIAGNOSTICO;4;41;4101;LA SERENA;41;ELQUI;3;2;0; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;520;7;COLEGIO JOSE GASPAR MARIN ESQUIVEL;4;41;4101;LA SERENA;41;ELQUI;1;1;0;223233; ;LINCOYAN 2974;-29,91459711;-71,22313586;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;553;3;ESCUELA DE BELLAVISTA;4;41;4101;LA SERENA;41;ELQUI;1;1;1;271298;83372369;RUTA 41 KM 8 BELLAVISTA;-29,92426421;-71,17507938;0;0;0;0;0;0;0;0;0;0;0;2;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;559;2;COLEGIO AGUA GRANDE;4;41;4101;LA SERENA;41;ELQUI;1;1;1; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;584;3;JARDIN INFANTIL MONTESSORI;4;41;4101;LA SERENA;41;ELQUI;4;3;0; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;592;4;COLEGIO MARIA AUXILIADORA;4;41;4101;LA SERENA;41;ELQUI;4;3;0; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;600;9;ESCUELA DE AGUA GRANDE;4;41;4104;LA HIGUERA;41;ELQUI;2;1;1; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;601;7;ESCUELA DE LOS MORROS;4;41;4104;LA HIGUERA;41;ELQUI;2;1;1;213088;94201200;LOS MORROS;-29,38098551;-70,74277916;0;0;0;0;0;0;0;0;0;0;0;3;1; ;GRATUITO;GRATUITO
2015;607;6;ESCUELA LOS PAJARITOS;4;41;4104;LA HIGUERA;41;ELQUI;2;1;0; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;654;8;COLEGIO INGLES JOHN KENNEDY;4;41;4102;COQUIMBO;41;ELQUI;4;3;0; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;660;2;ESCUELA DE EL TORO;4;41;4103;ANDACOLLO;41;ELQUI;2;1;1; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;663;7;ESCUELA PADRE CLARET;4;41;4103;ANDACOLLO;41;ELQUI;3;2;0;431745; ;CALLE COVADONGA S/N;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2; ;GRATUITO;GRATUITO
