AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;CONVENIO_SEP;AÑO_INGRESO_SEP;CLASIFICACION_SEP;N_PRIO;N_BEN
2015;1;9;LICEO POLITECNICO ARICA;15;151;15101;ARICA;151;ARICA;2;1;0;1;2013;EMERGENTE;533;306
2015;2;7;PARVULARIO LAS ESPIGUITAS;15;151;15101;ARICA;151;ARICA;2;1;0;1;2008;EMERGENTE;96;96
2015;3;5;ESC. PEDRO VICENTE GUTIERREZ TORRES;15;151;15101;ARICA;151;ARICA;2;1;1;0; ; ;5;0
2015;4;3;LICEO OCTAVIO PALMA PEREZ;15;151;15101;ARICA;151;ARICA;2;1;0;1;2013;EMERGENTE;678;546
2015;5;1;JOVINA NARANJO FERNANDEZ;15;151;15101;ARICA;151;ARICA;2;1;0;1;2008;EMERGENTE;466;332
2015;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;15;151;15101;ARICA;151;ARICA;2;1;0;1;2013;EMERGENTE;776;594
2015;8;6;COLEGIO INTEGRADO EDUARDO FREI MONTALVA;15;151;15101;ARICA;151;ARICA;2;1;0;1;2008;EMERGENTE;405;376
2015;9;4;ESCUELA REPUBLICA DE ISRAEL;15;151;15101;ARICA;151;ARICA;2;1;0;1;2008;AUTONOMO;800;800
2015;10;8;ESCUELA REPUBLICA DE FRANCIA;15;151;15101;ARICA;151;ARICA;2;1;0;1;2008;EMERGENTE;117;117
2015;11;6;ESC. GRAL. PEDRO LAGOS MARCHANT;15;151;15101;ARICA;151;ARICA;2;1;0;1;2008;EMERGENTE;335;335
2015;12;4;ESCUELA GRAL JOSE MIGUEL CARRERA;15;151;15101;ARICA;151;ARICA;2;1;0;1;2008;AUTONOMO;233;233
2015;13;2;ESCUELA MANUEL RODRIGUEZ ERDOYZA;15;151;15101;ARICA;151;ARICA;2;1;0;1;2008;EMERGENTE;199;199
2015;14;0;ESCUELA ROMULO J. PENA MATURANA;15;151;15101;ARICA;151;ARICA;2;1;0;1;2008;EMERGENTE;130;130
2015;15;9;LICEO ARTISTICO DR. JUAN NOE CREVANI;15;151;15101;ARICA;151;ARICA;2;1;0;1;2008;EMERGENTE;250;239
2015;16;7;ESCUELA REGIMIENTO RANCAGUA;15;151;15101;ARICA;151;ARICA;2;1;0;1;2008;EMERGENTE;144;144
2015;17;5;ESCUELA SUBTTE. LUIS CRUZ MARTINEZ;15;151;15101;ARICA;151;ARICA;2;1;0;1;2008;EMERGENTE;243;243
2015;18;3;ESC. COMTE. JUAN JOSE SAN MARTIN;15;151;15101;ARICA;151;ARICA;2;1;0;1;2008;EMERGENTE;339;339
2015;19;1;ESC. HUMBERTO VALENZUELA GARCIA;15;151;15101;ARICA;151;ARICA;2;1;0;1;2008;EMERGENTE;292;292
2015;20;5;ESCUELA TUCAPEL;15;151;15101;ARICA;151;ARICA;2;1;0;1;2008;AUTONOMO;330;330
2015;22;1;ESCUELA GABRIELA MISTRAL;15;151;15101;ARICA;151;ARICA;2;1;0;1;2008;EMERGENTE;714;714
2015;25;6;ESCUELA CENTENARIO;15;151;15101;ARICA;151;ARICA;2;1;0;1;2008;AUTONOMO;410;410
2015;26;4;ESCUELA REPUBLICA DE ARGENTINA;15;151;15101;ARICA;151;ARICA;2;1;0;1;2008;EMERGENTE;135;135
2015;27;2;ESCUELA ESMERALDA;15;151;15101;ARICA;151;ARICA;2;1;0;1;2008;EMERGENTE;155;155
2015;28;0;ESCUELA RICARDO SILVA ARRIAGADA;15;151;15101;ARICA;151;ARICA;2;1;0;1;2008;AUTONOMO;438;224
2015;29;9;ESCUELA AMERICA;15;151;15101;ARICA;151;ARICA;2;1;0;1;2008;EMERGENTE;410;410
2015;30;2;ESCUELA DR. RICARDO OLEA GUERRA;15;151;15101;ARICA;151;ARICA;2;1;0;0; ; ;136;0
2015;31;0;ESCUELA DARIO SALAS DIAZ;15;151;15101;ARICA;151;ARICA;2;1;1;1;2008;AUTONOMO;274;274
2015;32;9;LICEO AGRICOLA JOSE ABELARDO NUNEZ M.;15;151;15101;ARICA;151;ARICA;2;1;1;1;2008;EMERGENTE;389;374
2015;33;7;ESCUELA CARLOS CONDELL DE LA HAZA;15;151;15101;ARICA;151;ARICA;2;1;1;1;2008;EMERGENTE;139;139
2015;35;3;ESCUELA GRAL. MANUEL BAQUEDANO;15;151;15101;ARICA;151;ARICA;2;1;1;1;2008;EMERGENTE;53;53
2015;36;1;ESCUELA IGNACIO CARRERA PINTO;15;151;15101;ARICA;151;ARICA;2;1;0;1;2008;EMERGENTE;250;250
2015;38;8;ESCUELA ESPAÑA;15;151;15101;ARICA;151;ARICA;2;1;1;1;2008;AUTONOMO;393;393
2015;39;6;ESCUELA PAMPA ALGODONAL;15;151;15101;ARICA;151;ARICA;2;1;1;1;2008;EMERGENTE;17;17
2015;41;8;ESCUELA VALLE DE CHACA;15;151;15101;ARICA;151;ARICA;2;1;1;1;2008;EMERGENTE;12;12
2015;42;6;ESCUELA MOLINOS LLUTA;15;151;15101;ARICA;151;ARICA;2;1;1;1;2008;EMERGENTE;6;6
2015;43;4;JARDIN INFANTIL CEPILLIN;15;151;15101;ARICA;151;ARICA;3;2;0;1;2013;EMERGENTE;16;16
2015;45;0;COLEGIO ITALIANO SANTA ANA;15;151;15101;ARICA;151;ARICA;3;2;0;1;2013;EMERGENTE;433;412
2015;46;9;JARDIN INFANTIL SAN ANDRES;15;151;15101;ARICA;151;ARICA;3;2;0;1;2009;EMERGENTE;7;7
2015;49;3;JARDIN INFANTIL PADRE LUIS GALLARDO;15;151;15101;ARICA;151;ARICA;3;2;0;1;2008;EMERGENTE;33;33
2015;50;7;COLEGIO ADVENTISTA DE ARICA;15;151;15101;ARICA;151;ARICA;3;2;0;1;2008;AUTONOMO;342;320
2015;51;5;ESCUELA PARTICULAR REPÚBLICA DEL ECUADOR;15;151;15101;ARICA;151;ARICA;3;2;0;1;2008;EMERGENTE;7;7
2015;52;3;LICEO DOMINGO SANTA MARIA;15;151;15101;ARICA;151;ARICA;3;2;0;1;2008;AUTONOMO;2289;2067
2015;55;8;JARDIN INFANTIL MONTESSORI GARDEN;15;151;15101;ARICA;151;ARICA;3;2;0;1;2008;EMERGENTE;89;89
2015;56;6;COLEGIO SAN MARCOS DE ARICA;15;151;15101;ARICA;151;ARICA;3;2;0;0; ; ;186;0
2015;58;2;JARDIN INFANTIL PETETE J.M. BORGOÐO;15;151;15101;ARICA;151;ARICA;3;2;0;1;2008;EMERGENTE;6;5
2015;59;0;COLEGIO SAN JORGE;15;151;15101;ARICA;151;ARICA;4;3;0;0; ; ;37;0
2015;60;4;COLEGIO ALEMAN DE ARICA;15;151;15101;ARICA;151;ARICA;3;2;0;1;2008;EMERGENTE;347;337
2015;66;3;JARDIN INFANTIL PLUTO;15;151;15101;ARICA;151;ARICA;3;2;0;1;2008;EMERGENTE;15;11
2015;67;1;ABRAHAM LINCOLN SCHOOL;15;151;15101;ARICA;151;ARICA;3;2;0;0; ; ;185;0
2015;69;8;JUNIOR COLLEGE;15;151;15101;ARICA;151;ARICA;4;3;0;0; ; ;103;0
